,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
300000,2019-05-26 16:12:41,4189814094741,fraud_Kihn Inc,shopping_pos,3.89,Jason,Farmer,M,33165 Larry Walks Suite 960,Ragland,AL,35131,33.7367,-86.1619,4159,Educational psychologist,1998-02-03,794195781e524bbd9e6a53d8a3937aa6,1338048761,33.577594,-86.5686,0
300001,2019-05-26 16:12:52,2712209726293386,fraud_Torphy-Goyette,shopping_pos,6.79,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1977-02-22,4a897e9cf7eaf598116f8b8665b87511,1338048772,31.351301,-91.16024300000001,0
300002,2019-05-26 16:12:59,3567879740649740,fraud_Daugherty LLC,kids_pets,27.2,Tanya,Williams,F,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,6b4bc90026034a0602f308462d4510dc,1338048779,43.546902,-75.988316,0
300003,2019-05-26 16:14:13,630451534402,fraud_McDermott-Rice,misc_pos,4.05,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,771093453961dd90e8db37c0025f9ec3,1338048853,46.252265,-85.903001,0
300004,2019-05-26 16:14:17,6538441737335434,fraud_Macejkovic-Lesch,shopping_pos,128.47,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1997-09-22,00f793d8d0152476bcdc23faf6a16ff2,1338048857,42.03983,-80.227025,0
300005,2019-05-26 16:14:33,3552581383553463,"fraud_McCullough, Hudson and Schuster",food_dining,64.0,Jonathan,Castro,M,200 Christie Mills Apt. 307,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,1965-04-13,2a8a16194aa2c7859d3de6cb3a94b8b6,1338048873,35.001537,-84.712335,0
300006,2019-05-26 16:14:44,3561963695236764,fraud_Thiel Ltd,travel,563.93,Michael,Lee,M,7915 Dawn Roads Apt. 544,Shelter Island,NY,11964,41.06399999999999,-72.3366,1858,Clinical biochemist,1984-03-03,a97f838f1c2ff369636978edf600f0c1,1338048884,41.960936,-72.469174,0
300007,2019-05-26 16:15:03,180031190491743,fraud_Pouros-Conroy,shopping_pos,6.57,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,195ddb3eb70e94f1b68f23c04d3a434d,1338048903,30.530337,-87.50438299999999,0
300008,2019-05-26 16:15:12,4170689372027579,fraud_Collier LLC,home,166.81,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,c2ed468afa0fbcdf30a4e66e56eeeab3,1338048912,35.673357,-96.678105,0
300009,2019-05-26 16:15:14,675990301623,fraud_Gislason Group,travel,9.93,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,80ce25f07147c84c13f508fdf43ee64f,1338048914,40.581156,-74.243169,0
